Label,Text,stemmed_text
1,я вот не могу понять если я ненавижу януковича вместе с его комуноуголовную семейку и хочу его сместить значит я фашист значит люди которые грабят страну последние года это молодцы классные ребята а те кто хотят его сместить фашисты почему я не имею право в собственной стране развиваться люди которые вышли на майдан хотят только одного иметь право на самозащиту и на саморазвитие мусорские чиновники при януковиче так охамели что могут любого закрыть в часа и надолго милиция в государстве отсутствует медицина отсутствует судов нет и это по мнению россиян хорошо а попытка изменить свою жизнь к лучшему фашизм че за бред нас достала эта комунофашистская мразь которая паразитирует на людях мы просто хотим жить свободно и быть увереными в завтрашнем дне что в этом плохого ,моч понима ненавидет янукович вмест комуноуголовн семейк хотет смеща знач фашист знач человек котор граб стран последн год эт молодец классн ребят тот хотет смеща фашист поч имет прав собствен стран развива человек котор выход майда хотет один имет прав самозащит саморазвит мусорск чиновник янукович охамет моч люб закрыва час надолг милиц государств отсутствова медицин отсутствова суд эт мнен россиянин попытк изменя жизн хорош фашизм че бред достава этот комунофашистск мраз котор паразитирова человек прост хотет жит свободн уверен завтрашн дно плох
0,так вот в чем дело хохлы просто решили снять супер крутой фильм со спецэффектами как у спилберга и экшном как у снайдера обязательно пойду в кинотеатр ,дел хохол прост реша снима супер крут фильм спецэффект спилберг экшн снайдер обязательн пойт кинотеатр
1,смерть виродкам мусорським до коліна ,смерт виродок мусорськ колін
1,гори в аду крым донбасс украина оккупантам жестокая смерть путлер капут ,горет ад крым донбасс украин оккупант жесток смерт путлер капут
0,возникает вопрос почему снайпер только один и где пулеметчики почему их не видно ,возника вопрос поч снайпер пулеметчик поч видн
1,так ты двуличный мудак живешь в европе а в украине хочешь видеть зону под паханатом янукевича я не от тебя бабло получаю не волнуйся сибирь пишется через и грн получает титушка баксов беркут баксов тихарь мент ну а снайпер конечно больше и не пори гарячку про снег я тебя умоляю это бред ,двуличн мудак жит европ украин хотет видет зон паханат янукевич бабл получа волнова сибир писа грн получа титушк бакс беркут бакс тихар мент снайпер пор гарячк снег умоля эт бред
1, александр пяткин бандеровцев бить можно и нужно ,александр пяткин бандеровец бит нужн
1,идейные дураки ,идейн дурак
0,ирина молодец интересная женщина ,ирин молодец интересн женщин
0,слава украине ,слав украин
1,передачка во главе пидора сасет у путлера и доволен ,передачк глав пидор сасет путлер довольн
1,эти выродки не только о присяге забыли но уже в них ничего человеческого не осталось продались режиму и дьяволу так теперь пусть не удивляются что народ им не только не доверяет но презирает и ненавидит жаль что название беркут как слово нарицательное звучит им больше название из падальщиков подойдет стервятники ,выродок присяг забыва человеческ остава продава реж дьявол пуст удивля народ доверя презира ненавидет жал назван беркут слов нарицательн звуча назван падальщик подход стервятник
1,это не революция а продажные америкосные шестерки ,эт революц продажн америкосн шестерк
0, эрик хотя ничего скоро мы все равно мы узнаем всю правду стоит нам только в очередной раз подружиться с американцами они выведут из црушных комнат все это из под грифа и представят на всеобщее внимание и осуждение правда пройдет не мало лет многие даже забудут эту катастрофу ,эрик хот скор равн узнава правд сто мы очередн подруж американец вывод црушн комнат эт гриф представля всеобщ вниман осужден правд пройт мал год мног забыва катастроф
0,саша україна з тобою завжди ,саш україн з ты завжд
0,скажешь это им когда в тебя стрелять начнут ,сказа эт стреля начина
1,зажигательными по етим зверям гасить надо ебаные продажные суки стоят там за гр ,зажигательн ет звер гас ебан продажн сук стоя гр
0, украина свободная страна вы хотите сказать что на том видео из одессы одни агенты фсб ,украин свободн стран хотет сказа виде одесс один агент фсб
1,параноидальная мания преследования это про этого гаврика и хрень про все видео в целом ,параноидальн ман преследован эт гаврик хрен виде цел
0,это бред милиция раздевает и расстреливает провокаторы придумайте что то менее маразматичное ,эт бред милиц раздева расстрелива провокатор придумыва мен маразматичн
0,по видимому беркут заслан с россии ,видим беркут засыла росс
0,украину как она есть хочет только тс а ес хочет чтоб мы у себя для начала как минимум порядки понаводили от страны где все держится на откатах и коррупции никому кроме россии пользы нет ,украин хотет тс ес хотет начина минимум порядок понавод стран держа откат коррупц никт кром росс польз
0,так их всех совсем охренели хохлы тока отстреливать и надо ,охренет хохол ток отстрелива
0, анна левицька анна если вы в своем уме то скорее вы платный тролль можно как угодно относиться к крашенинниковой но её доводы просто железные а хака просто жжет и делает эмоциональные выпады ,ан левицьк ан сво ум скор платн тролл угодн относ крашенинников е довод прост железн хак прост жеч дела эмоциональн выпад
1,ваня рус сволочь молись мразь гореть тебе в аду тварь москальская я плюю на тебя и на могилы твоих предков и на твою могилу буду плевать ,ван рус сволоч мол мраз горет ты ад твар москальск плева мог тво предок тво мог быт плева
1,они только скакать жрать срать спать могут и им этого вполне хватает для счастья ,скака жрат срат спат моч вполн хвата счаст
1,мудак монголский у тебя печалка твои братья чурки колорады не сняли в одессе свое самосожжение поэтому никаких кадров и нет ,мудак монголск печалк тво брат чурк колорад снима одесс сво самосожжен поэт никак кадр
1,пиздаболия вру ,пиздабол врат
0,срубавши голову по волосам не плачут ,сруба голов волос плака
0,к сожалению очень много нелюди пишет комментарии ,сожален очен нелюд писа комментар
0,нет лучше оставить их россиюшке что бы она и их разворовала москалям в киев путь закрыт ,оставля россиюшк разворовыва москал ки пут закрыва
1,за что стояле сука за новую полицию которая лишь прибавила понтов за цены космические за безвиз который нахер никому не нужен а проще уже визу сделать а за зарплаты в тысячу гривен а сука я за украину и сам я уроп да что толку то нихуя не изменилось ,стоял сук нов полиц котор лиш прибавля понт цен космическ безвиз котор нахер никт нужн прост виз сдела зарплат тысяч гривн сук украин уроп толк нихова изменя
1,этих беркутовских ублюдков ждет трибунал и зона как и их вора януковича а путин с лукашенко пусть ждут они следующие ,этот беркутовск ублюдок ждат трибуна зон вор янукович путин лукашенк пуст ждат след
1, афанасий крутиков ну за гроши с обеих сторон шакалов хватает и насколько я вижу информацию активно искажают с обеих сторон причем обильно посыпают своим мнением хотя нет вряд ли своим а у тебя я вижу мнение о востоке страны уже сложилось и не похоже что ты готов слушать чье то мнение зомби же не люди а значит с ними можно не считаться да и убить не жалко прямо милосердие ,афанас крутик грош об сторон шака хвата наскольк видет информац активн искажа об сторон прич обильн посыпа сво мнен хот вряд сво видет мнен восток стран складыва похож готов слуша че мнен зомб человек знач он счита убива жалк прям милосерд
1,а я думаю вместо беркута сталинских пулеметчиков там надо поставить с приказом зачистить площадь от стада бешеных быдлотников сколько же этого дерьма развелося в нашей стране в европу захотели а что они сделали для этого за что голосуют лутше бы работали как все нормалиные люди на заводах и фабриках экономику подымали бы они думают украина европе нужна да плевать она хотела на украину у них своих проблем хватает самая главная проблема у них унижтожить славян любым способом ес это один из этих способов конечно же эта школота сыкунская живущая за мамины и папины деньги этого не поймет куда уж им там за евро бутеры с евро чам они и мать ролную продадут как это сделали ихнии бабки деды продали советский союз за банку гнилых консервов прежде чем идти в европу нужно жить по европейски научиться а не стоять с голым задом и требовать не понятно что ,дума вмест беркут сталинск пулеметчик поставля приказ зачища площад стад бешен быдлотник скольк дерьм развел наш стран европ захотет сдела голосова лутш работа нормалин человек завод фабрик экономик подыма дума украин европ нужн плева хотет украин сво проблем хвата сам главн проблем унижтожива славянин люб способ ес эт этот способ этот школот сыкунск жит мамин папин деньг понима евр бутер евр чам мат ролн продава эт сдела ихн бабк дед продава советск союз банк гнил консерв прежд идт европ нужн жит европейск науча стоя гол зад требова понятн
0,ахах парни из кировограда там как раз так разговаривают на бендерской мове хоть бы врали красиво и где они бежали че то не увидела ,ах парен кировоград разговарива бендерск мов врат красив бежа че увидет
1,у силовиков калаши с другим прикладом а у этих гнид с повязками складные приклады это не силовики а боевики нанятые западом ,силовик калаш друг приклад этот гнид повязк складн приклад эт силовик боевик нанима запад
0,цирк а не видео и им это показывают уже весь мир живет в веке а россия все в войнушки хочет играть путин доведет россию до того что будет как с януковичем только бежать ему уже будет некуда жаль нормальных русских которым такую правдивую информацию доносят сми ,цирк виде эт показыва ве мир жит век росс войнушк хотет игра путин довод росс янукович бежа некуд жал нормальн русск котор так правдив информац донос сми
0,разницы нет вас везде одинаково ненавидят ,разниц везд одинаков ненавидет
0,лучше бы показали как поджигали заживо офицеров безоружныхи ну и хотя бы за чей счет сартиры содержались ой я забыл же что это канал патриота вити пинчука еврея которого буш и клинтон на юбилей приглашали тогда я не сомневаюсь в не предвзятости красава хорошо работает значит я согласен что сша не причем эти события стихийны а если даже и при чем то они спать спокойно не могли зная что где то в мире есть такой тиран янукович ведь они же любят украинушку матушку всей душой а мы все любим сша ,показыва поджига зажив офицер безоружных хот че счет сартир содержа о забыва эт кана патриот вит пинчук евр котор буш клинтон юбил приглаша сомнева предвзят красав работа знач согласн сша прич событ стихийн спат спокойн моч знат мир тира янукович люб украинушк матушк ве душ люб сша
0,україна совісно й нескорено вставай й бандитам не прощай та всіх гадів гідно наш народе швидше покарай дивіться ютубвідео свтло віри й правди упа та благовіст довбуша все що сталось в киіві було передбачено божими пророцтвами ще з року які є в тих відео та в статтях нашоі інтернетпятірки офіцерів священників упа бандери голодюка попереду опівночі в грудні р має бути ява антихриста і призначення в киів царем путіна й тоді проти нього воскреснуть з небес з синеоким русим христом наші святі героі щоб помогти упа боротися із комунозлом бог нам помагав і поможе упа й украіна переможе щасливо слава украіні слава нації ,україн совісн й нескоря встава й банд проща тот всіх гадів гідно наш народ швидш покара дивіт ютубвіде свтло віри й правд уп тот благовіст довбуш що стат киіві бул передбат бож пророцтв ще з рок які є тих віде тот статт нашоі інтернетпятірк офіцерів священників уп бандер голодюк поперед опівночі грудні р має бут яв антихрист і призначен киів цар путін й тоді прот ньог воскреса з неб з синеок рус христос наші святі героі щоб помогот уп борот із комунозел бог мы помага і помож уп й украін перемож щаслив слав украіні слав нації
0, макс курбатов беркут применил дозволенную силу а в ответ получили коктейли молотова вот это уже криминал ,макс курбат беркут применя дозволен сил ответ получа коктейл молот эт кримина
1,зечара тебя ждет судьба каддафи ,зечар ждат судьб каддаф
0,сало всем хватило ,сал все хват
0, сеньор помидор так что в очень тяжелое время мы живем только внуки наши наверное вкусят плоды счастливой жизни ,сеньор помидор очен тяжел врем жит внук наш наверн вкуша плод счастлив жизн
0, олег вяткин ну там хтось стоїть в німецький казці і кричить що він німець аву очніться то такі українці як ви нема там німців і англійцій там нема таких націй то ми свої да деякі продажні но то все одно люди україни як і ви всі ,олег вяткин хто стоїт німецьк казці і крич що він німет^ ав очніт такі українці як ви нем німців і английц нем так нац ми свої деякі продажні один человек україн як і ви всі
0, ,
0,де в рази підвищилися тарифи брехня як не соромно ,де раз підвищ тариф брехн як соромн
0,так разом ми стіна ,раз ми стіна
1, анна арич иди на хуй мелкими шагами ,ан арич идт ху мелк шаг
1,вот зачем нам нужна реформа в правоохранительных органах но всем же пофиг ,мы нужн реформ правоохранительн орга все пофиг
0, андрей карпина ты вообще думаешь что пишешь или ты под действием алкоголя ты написал мы усыпили донбасс анастезиолог что ли ты не родственник фарион случайно насчет обид если был в донецке то должен знать кто обижается я могу лишь расстроиться и поверь никак не из за тебя и твоих оскорблений ,андр карпин вообщ дума писа действ алкогол написа усыпля донбасс анастезиолог родственник фарион случайн насчет обид донецк должн знат обижа моч лиш расстраива поверя никак тво оскорблен
1,даун мабудь куплений пр черговий титушко клавіатурний ,даун маб куплен пр чергов титушк клавиатурн
0, николай негоголь я предпочту бути українцем а не тим і не іншим ,никола негогол предпочита бут українц тим і іншим
0,кроме доказательства применения огнестрельного оружия силовиками это видео доказывает отсутствие огнестрела у повстанцев в случае возможности ответного огня в полный рост вразвалочку не ходят уж этим хлопцам это точно известно ,кром доказательств применен огнестрельн оруж силовик эт виде доказыва отсутств огнестрет повстанец случа возможн ответн огон полн рост вразвалочк ход этот хлопец эт точн известн
0,петиция закончилась цифрой ,петиц заканчива цифр
0,где власть ведь война ,власт войн
0,да стыд и позор майдаунным оккупантам ,стыд позор майдаун оккупант
1,ага европейска нация ох ели что ли ,аг европейск нац ох ест
0,скоро за ведро строительного мусора будут сажать в сизо ,скор ведр строительн мусор быт сажа сиз
1,а где нашивки беркута у снайпера я вижу только мудака позирующего на камеру и стреляющего в людей профи себя так не ведут ,нашивк беркут снайпер видет мудак позирова камер стреля человек проф вест
0,буковки выучи а потом по сайтам лазь ,буковк выучива сайт лаз
0,вы уже помогли ,помога
1, мирослав карпюк ахаха эбалка не выросла еще эбака хуев твоя мама хуи сосала чтоб ты за интернет заплатил а ты хуйню всякую пишеш лучше бы что нибудь умное прочитал дефективный ,миросла карпюк ах эбалк выраста эбак хует тво мам ху соса интернет заплат хуйн всяк пишеш умн прочитыва дефективн
0,тут правильно сказали на западе свои герои в центре свои на востоке свои герои и эти герои ни как не могут идти в одном направлении и уж тем более в единой стране невозможно строить три противоположные истории украина это ошибка это страна обреченная на развал не могут герои сс шагать рядом с героями освободителями от фашизма они враги а враги единую страну строить не могут ,правильн сказа запад сво гер центр сво восток сво гер гер моч идт один направлен един стран невозможн стро противоположн истор украин эт ошибк эт стран обречен разва моч гер сс шага ряд гер освободител фашизм враг враг един стран стро моч
0,там не видно кто стрелял и стрелял ли вообще ролик не показательный ,видн стреля стреля вообщ ролик показательн
1,гандон ,гандон
1, уровень жизни показатель столь же бессмысленный сколь и средняя температура по больнице но каклоте не понять к европейской зарплате идут и европейские цены и европейские налоги и европейская безработица так что получается что в россии и даже на украине зарплата внезапно намного больше шкура продажная такая шкура ,уровен жизн показател стол бессмыслен скол средн температур больниц каклот понима европейск зарплат идт европейск цен европейск налог европейск безработиц получа росс украин зарплат внезапн намн шкур продажн так шкур
0,если убрать всю словесную шелуху то все становится на свои места соглашение об ассоциации в плане экономики полная сдача слив украины факт подтвержденный всеми экспертами это приведет тотальному обнищанию народа и голодным смертям и к безысходности в плане политики значительная потеря сувернитета как во внешних так во внутренних делах при этом ни о вступлении в ес ни о безвизовом режиме ни о каких либо рабочих квотах речи вообще нет уже есть примеры ассоциации с ес тунис ливия египет и тд там царит демократия высокий уровень жизни и автобаны как в германии видимо ах да еще есть турция которая вступает в ес уже лет ,убира словесн шелух станов сво мест соглашен ассоциац план экономик полн сдач слив украин факт подтвержда ве эксперт эт привод тотальн обнищан народ голодн смерт безысходн план политик значительн потер сувернитет внешн внутрен дел вступлен ес безвизов реж как либ рабоч квот реч вообщ пример ассоциац ес тунис лив египет тд цар демократ высок уровен жизн автоба герман видим ах турц котор вступа ес год
0,очень надеюсь летом в украине попасть на ваше выступление в одессе киеве ,очен надея лет украин попада ваш выступлен одесс ки
1,иди в нато проститутка ,идт нат проститутк
1,а вопрос на засыпку хочешь а как ты думаеш кто такими как вы сегодня правит да да да да наш президент с донецка а ты сучара подстилка польская ,вопрос засыпк хотет думаеш так сегодн прав наш президент донецк сучар подстилк польск
0,да все так и есть кирдык нам они давно готовили но мы не сдадимся ,кирдыка мы давн готов сдава
0,да и гильза от пистолета к чему здесь или снайпер с пистолета стреляет ,гильз пистолет что снайпер пистолет стреля
1,наконецто бандеров крошат ,наконецт бандер крош
0, филлип брукс у вас есть основания полагать что я не умен ,филлип брукс основан полага умн
1,там же в жопе ,жоп
0,ты где живешь я вопрос задал а ты был в этой ущербной и неудобной сети чтоб давать оценку так что там про достижения майдана ,жит вопрос задава ущербн неудобн сет дава оценк достижен майда
